id_campania,TipoPublicidadAtractiva,PromocionPreferida,CampaniaMasProbableCompra,CompraTarjetasColeccionables
1,Una selección nacional,Sorteo de viajes,Edición Francia,Sí
2,Una selección nacional,Producto gratis,Edición Brasil,Sí
3,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,No
4,Premios y sorteos,2x1,Edición con jugadores famosos,Sí
5,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,No
6,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
7,Premios y sorteos,2x1,Edición España,Sí
8,Una selección nacional,Tarjetas coleccionables,Edición Brasil,No
9,Un jugador famoso,Sorteo de balones,Edición Brasil,No
10,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,No
11,Una selección nacional,2x1,Edición Inglaterra,Sí
12,Un jugador famoso,Descuento directo,Edición Inglaterra,Sí
13,Historias de aficionados,2x1,Edición Argentina,No
14,Un jugador famoso,2x1,Edición Mundial FIFA 2026,No
15,Un jugador famoso,Producto gratis,Edición Inglaterra,Sí
16,Premios y sorteos,Tarjetas coleccionables,Edición España,Sí
17,Historias de aficionados,2x1,Edición Francia,Sí
18,Humor,Sorteo de viajes,Edición con tarjetas coleccionables,Sí
19,Un jugador famoso,Producto gratis,Edición con jugadores famosos,Sí
20,Premios y sorteos,Sorteo de viajes,Edición con jugadores famosos,Sí
21,Historias de aficionados,Sorteo de camisetas,Edición Brasil,No
22,Historias de aficionados,Tarjetas coleccionables,Edición Brasil,No
23,Humor,Descuento directo,Edición Mundial FIFA 2026,Sí
24,Historias de aficionados,Sorteo de viajes,Edición Francia,No
25,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,Sí
26,Humor,2x1,Edición Francia,No
27,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,Sí
28,Historias de aficionados,Producto gratis,Edición Inglaterra,Sí
29,Historias de aficionados,Producto gratis,Edición con jugadores famosos,Sí
30,Un jugador famoso,Descuento directo,Edición Brasil,No
31,Premios y sorteos,Producto gratis,Edición con tarjetas coleccionables,Sí
32,Humor,2x1,Edición Brasil,No
33,Historias de aficionados,2x1,Edición con jugadores famosos,No
34,Una selección nacional,Producto gratis,Edición Inglaterra,Sí
35,Historias de aficionados,Sorteo de viajes,Edición Argentina,No
36,Una selección nacional,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
37,Un jugador famoso,Sorteo de viajes,Edición Francia,Sí
38,Historias de aficionados,Descuento directo,Edición España,No
39,Premios y sorteos,Sorteo de camisetas,Edición España,Sí
40,Una selección nacional,2x1,Edición Inglaterra,No
41,Premios y sorteos,Descuento directo,Edición Brasil,Sí
42,Premios y sorteos,Tarjetas coleccionables,Edición Argentina,Sí
43,Historias de aficionados,Descuento directo,Edición Mundial FIFA 2026,No
44,Historias de aficionados,2x1,Edición Argentina,Sí
45,Humor,Tarjetas coleccionables,Edición España,No
46,Una selección nacional,Sorteo de camisetas,Edición con jugadores famosos,No
47,Un jugador famoso,2x1,Edición Francia,Sí
48,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
49,Humor,Sorteo de viajes,Edición Inglaterra,No
50,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
51,Una selección nacional,2x1,Edición Argentina,No
52,Humor,Descuento directo,Edición Brasil,Sí
53,Un jugador famoso,Tarjetas coleccionables,Edición con jugadores famosos,Sí
54,Humor,Sorteo de balones,Edición Argentina,No
55,Un jugador famoso,Descuento directo,Edición Argentina,Sí
56,Humor,Descuento directo,Edición con jugadores famosos,Sí
57,Un jugador famoso,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
58,Un jugador famoso,Producto gratis,Edición Argentina,Sí
59,Una selección nacional,Descuento directo,Edición Brasil,No
60,Un jugador famoso,Descuento directo,Edición España,No
61,Un jugador famoso,2x1,Edición con jugadores famosos,No
62,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
63,Un jugador famoso,Sorteo de balones,Edición Francia,Sí
64,Una selección nacional,Sorteo de camisetas,Edición Francia,Sí
65,Historias de aficionados,Sorteo de camisetas,Edición Mundial FIFA 2026,No
66,Un jugador famoso,2x1,Edición Inglaterra,No
67,Un jugador famoso,2x1,Edición Mundial FIFA 2026,Sí
68,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,No
69,Premios y sorteos,Sorteo de viajes,Edición Argentina,No
70,Una selección nacional,Producto gratis,Edición Argentina,Sí
71,Premios y sorteos,2x1,Edición con jugadores famosos,Sí
72,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,Sí
73,Humor,Tarjetas coleccionables,Edición España,No
74,Humor,Sorteo de viajes,Edición Brasil,No
75,Premios y sorteos,Tarjetas coleccionables,Edición España,Sí
76,Una selección nacional,2x1,Edición Brasil,No
77,Historias de aficionados,Descuento directo,Edición Mundial FIFA 2026,No
78,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,No
79,Una selección nacional,Sorteo de viajes,Edición Inglaterra,Sí
80,Un jugador famoso,Sorteo de viajes,Edición Inglaterra,No
81,Una selección nacional,Tarjetas coleccionables,Edición España,No
82,Humor,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
83,Un jugador famoso,Sorteo de viajes,Edición con jugadores famosos,Sí
84,Historias de aficionados,2x1,Edición España,Sí
85,Una selección nacional,Tarjetas coleccionables,Edición Brasil,Sí
86,Una selección nacional,2x1,Edición Mundial FIFA 2026,Sí
87,Premios y sorteos,Sorteo de camisetas,Edición con jugadores famosos,Sí
88,Una selección nacional,Sorteo de balones,Edición con tarjetas coleccionables,No
89,Un jugador famoso,Descuento directo,Edición Argentina,Sí
90,Humor,Sorteo de balones,Edición Francia,Sí
91,Una selección nacional,Producto gratis,Edición con tarjetas coleccionables,Sí
92,Historias de aficionados,Descuento directo,Edición Brasil,No
93,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,Sí
94,Premios y sorteos,Sorteo de balones,Edición Mundial FIFA 2026,Sí
95,Un jugador famoso,Sorteo de viajes,Edición Mundial FIFA 2026,No
