id_encuestado,RangoEdad,SegmentoEdad,Genero,Ocupacion
1,55 años o más,Senior,Femenino,Jubilado
2,18 - 24 años,Joven Adulto,Masculino,Empresario
3,35 - 44 años,Adulto,Masculino,Estudiante
4,25 - 34 años,Adulto Joven,Femenino,Empleado privado
5,25 - 34 años,Adulto Joven,Femenino,Estudiante
6,18 - 24 años,Joven Adulto,Masculino,Comerciante
7,35 - 44 años,Adulto,Masculino,Empleado privado
8,25 - 34 años,Adulto Joven,Prefiero no indicarlo,Empresario
9,25 - 34 años,Adulto Joven,Femenino,Profesional independiente
10,Menos de 18 años,Juvenil,Femenino,Otro
11,18 - 24 años,Joven Adulto,Masculino,Profesional independiente
12,Menos de 18 años,Juvenil,Masculino,Empleado privado
13,25 - 34 años,Adulto Joven,Masculino,Empresario
14,25 - 34 años,Adulto Joven,Femenino,Jubilado
15,18 - 24 años,Joven Adulto,Femenino,Estudiante
16,Menos de 18 años,Juvenil,Femenino,Estudiante
17,18 - 24 años,Joven Adulto,Femenino,Empleado privado
18,35 - 44 años,Adulto,Masculino,Empleado público
19,18 - 24 años,Joven Adulto,Femenino,Comerciante
20,18 - 24 años,Joven Adulto,Femenino,Empresario
21,25 - 34 años,Adulto Joven,Masculino,Empleado público
22,25 - 34 años,Adulto Joven,Masculino,Empleado privado
23,25 - 34 años,Adulto Joven,Masculino,Empresario
24,18 - 24 años,Joven Adulto,Femenino,Otro
25,45 - 54 años,Adulto Mayor,Femenino,Empresario
26,18 - 24 años,Joven Adulto,Femenino,Empleado privado
27,25 - 34 años,Adulto Joven,Femenino,Jubilado
28,25 - 34 años,Adulto Joven,Femenino,Otro
29,25 - 34 años,Adulto Joven,Masculino,Estudiante
30,25 - 34 años,Adulto Joven,Masculino,Empresario
31,25 - 34 años,Adulto Joven,Femenino,Profesional independiente
32,18 - 24 años,Joven Adulto,Masculino,Estudiante
33,18 - 24 años,Joven Adulto,Femenino,Profesional independiente
34,25 - 34 años,Adulto Joven,Femenino,Empresario
35,Menos de 18 años,Juvenil,Masculino,Empleado privado
36,25 - 34 años,Adulto Joven,Masculino,Empleado privado
37,18 - 24 años,Joven Adulto,Femenino,Profesional independiente
38,25 - 34 años,Adulto Joven,Femenino,Profesional independiente
39,Menos de 18 años,Juvenil,Masculino,Estudiante
40,45 - 54 años,Adulto Mayor,Femenino,Empresario
41,18 - 24 años,Joven Adulto,Femenino,No especificado
42,18 - 24 años,Joven Adulto,Femenino,Ama de casa
