id_ubicacion,Departamento,Municipio
1,Guatemala,Santa Catarina Pinula
2,Guatemala,Santa Catarina Pinula
3,Alta Verapaz,Alta Verapaz
4,Guatemala,San Miguel Petapa
5,Guatemala,San Miguel Petapa
6,Quetzaltenango,Olintepeque
7,Sacatepéquez,CIUDAD VIEJA
8,Guatemala,Villa Nueva
9,Chimaltenango,Chimaltenango
10,Guatemala,Guatemala
11,Suchitepéquez,Suchitepéquez
12,Quetzaltenango,Quetzaltenango
13,Chiquimula,Chiquimula
14,Quiché,Otro municipio
15,Retalhuleu,Otro municipio
16,Sacatepéquez,Jocotenango
17,Guatemala,Guatemala
18,Guatemala,Santa Catarina Pinula
19,Santa Rosa,Otro municipio
20,Guatemala,San Miguel Petapa
21,Jutiapa,Jutiapa
22,Jalapa,Otro municipio
23,Guatemala,Guatemala
24,Guatemala,San Miguel Petapa
25,Guatemala,Santa Catarina Pinula
26,Petén,Poptún
27,Chimaltenango,Tecpán Guatemala
28,Chimaltenango,Chimaltenango
29,Guatemala,San Miguel Petapa
30,Guatemala,San Miguel Petapa
31,Sacatepéquez,Ciudad Vieja
32,Escuintla,Santa Lucía Cotzumalguapa
33,Escuintla,Escuintla
34,Chimaltenango,Tecpán Guatemala
35,Guatemala,Guatemala
36,El Progreso,Cabecera municipal
37,Quiché,Otro municipio
38,Guatemala,SAN MIGUEL PETAPA
39,Chiquimula,Cabecera municipal
40,Quiché,Cabecera municipal
41,Quetzaltenango,Olintepeque
42,Escuintla,Santa Lucía Cotzumalguapa
43,GUATEMALA,Villa Nueva
44,Guatemala,Villa Nueva
45,Guatemala,Mixco
46,Quetzaltenango,Olintepeque
47,Guatemala,Guatemala
48,Chimaltenango,Chimaltenango
49,Totonicapán,Totonicapán
50,Escuintla,Escuintla
51,Chimaltenango,Chimaltenango
52,Sololá,Otro municipio
53,Sololá,OTRO MUNICIPIO
54,Guatemala,Santa Catarina Pinula
55,QUETZALTENANGO,No especificado
56,Escuintla,Escuintla
57,Guatemala,Mixco
58,Quetzaltenango,Coatepeque
59,Guatemala,Santa Catarina Pinula
60,Guatemala,Santa Catarina Pinula
61,Guatemala,Mixco
62,Escuintla,Palín
63,Santa Rosa,Otro municipio
64,San Marcos,Otro municipio
65,El Progreso,El Progreso
66,Guatemala,Santa Catarina Pinula
67,Guatemala,San Miguel Petapa
68,ESCUINTLA,Escuintla
69,Guatemala,Mixco
70,Guatemala,Villa Nueva
71,ESCUINTLA,Escuintla
72,Guatemala,Mixco
73,Guatemala,Villa Nueva
74,Guatemala,Guatemala
75,Quetzaltenango,Olintepeque
76,Guatemala,San Miguel Petapa
77,Retalhuleu,Otro municipio
78,Guatemala,Santa Catarina Pinula
79,Guatemala,Mixco
80,Guatemala,Guatemala
81,Retalhuleu,Otro municipio
82,Guatemala,Villa Nueva
83,Quetzaltenango,Coatepeque
84,Guatemala,San Miguel Petapa
85,Guatemala,San Miguel Petapa
86,Quetzaltenango,Olintepeque
87,Chimaltenango,Tecpán Guatemala
88,Quetzaltenango,Coatepeque
89,Guatemala,Guatemala
90,Guatemala,No especificado
91,Petén,Flores
92,Guatemala,Guatemala
93,Guatemala,Guatemala
94,Guatemala,San Miguel Petapa
95,Guatemala,Guatemala
96,Alta Verapaz,Cabecera municipal
97,El Progreso,El Progreso
98,Guatemala,Mixco
99,Totonicapán,Otro municipio
100,Escuintla,Santa Lucía Cotzumalguapa
101,Escuintla,Escuintla
102,Escuintla,Palín
103,Alta Verapaz,Otro municipio
104,Guatemala,San Miguel Petapa
105,Guatemala,Villa Nueva
106,El Progreso,Otro municipio
107,Guatemala,Villa Nueva
108,Sacatepéquez,Ciudad Vieja
109,Guatemala,Villa Nueva
110,Escuintla,Escuintla
111,Escuintla,Santa Lucía Cotzumalguapa
112,Alta Verapaz,Alta Verapaz
113,Sololá,Cabecera municipal
114,Izabal,Izabal
115,Guatemala,Mixco
116,El Progreso,El Progreso
117,Zacapa,Zacapa
118,Guatemala,Santa Catarina Pinula
119,Guate,Santa Catarina Pinula
120,Guatemala,Guatemala
121,CHIQUIMULA,Chiquimula
122,Huehuetenango,Huehuetenango
123,Chimaltenango,CHIMALTENANGO
124,Sacatepéquez,Antigua Guatemala
125,Guatemala,Santa Catarina Pinula
126,Chimaltenango,Chimaltenango
127,Escuintla,Palín
128,Guatemala,Guatemala
129,Petén,Poptún
130,Escuintla,Santa Lucía Cotzumalguapa
131,Guatemala,Santa Catarina Pinula
132,Retalhuleu,Retalhuleu
133,Sololá,Cabecera municipal
134,Escuintla,Santa Lucía Cotzumalguapa
135,Alta Verapaz,Otro municipio
136,Zacapa,Cabecera municipal
137,Quiché,Cabecera municipal
138,Sacatepéquez,Sumpango
139,Guatemala,Guatemala
140,Guatemala,Guatemala
141,Guatemala,Santa Catarina Pinula
142,Guatemala,Mixco
143,Guatemala,Mixco
144,Quiché,Cabecera municipal
145,Guatemala,Guatemala
146,Quetzaltenango,Quetzaltenango
147,Guatemala,Villa Nueva
148,Escuintla,Santa Lucía Cotzumalguapa
149,Guatemala,Villa Nueva
150,Sacatepéquez,Antigua Guatemala
151,Guatemala,San Miguel Petapa
152,Guatemala,Mixco
153,Quetzaltenango,Coatepeque
154,Chimaltenango,Chimaltenango
155,Guatemala,San Miguel Petapa
156,Guatemala,Santa Catarina Pinula
157,Escuintla,Palín
158,Suchitepéquez,Otro municipio
159,Chimaltenango,Patzún
160,Guatemala,San Miguel Petapa
161,Huehuetenango,Cabecera municipal
162,Guatemala,Mixco
163,Guatemala,Guatemala
164,Quetzaltenango,Quetzaltenango
165,Guatemala,GUATEMALA
166,Zacapa,Otro municipio
167,Guatemala,Mixco
168,Chiquimula,Otro municipio
169,Guatemala,Guatemala
170,Guatemala,Santa Catarina Pinula
171,Alta Verapaz,Cabecera municipal
172,Guatemala,San Miguel Petapa
173,Guatemala,Mixco
174,Guatemala,Santa Catarina Pinula
175,San Marcos,Cabecera municipal
176,Guatemala,Guatemala
177,Petén,San Benito
178,Sacatepéquez,Antigua Guatemala
179,Guatemala,San Miguel Petapa
180,Guatemala,GUATEMALA
181,Guatemala,San Miguel Petapa
182,Sacatepéquez,Jocotenango
183,Jalapa,Otro municipio
184,Petén,San Benito
185,Guatemala,Villa Nueva
186,Guatemala,Mixco
187,Escuintla,Santa Lucía Cotzumalguapa
188,Santa Rosa,Otro municipio
189,ZACAPA,Cabecera municipal
190,Guatemala,Guatemala
191,Escuintla,Escuintla
192,Guatemala,Guatemala
193,Baja Verapaz,Baja Verapaz
194,Petén,Poptún
195,Guatemala,Santa Catarina Pinula
196,Escuintla,Escuintla
197,Sacatepéquez,Antigua Guatemala
198,Huehuetenango,Otro municipio
199,Izabal,Cabecera municipal
200,Escuintla,Escuintla
201,Guatemala,Guatemala
202,Baja Verapaz,Cabecera municipal
203,Sololá,Cabecera municipal
204,Escuintla,Santa Lucía Cotzumalguapa
205,Guatemala,Guatemala
206,Guatemala,Mixco
207,Guatemala,San Miguel Petapa
208,El Progreso,No especificado
209,Guatemala,Mixco
210,Guatemala,Mixco
211,Baja Verapaz,Cabecera municipal
212,Guatemala,Santa Catarina Pinula
213,Guatemala,Guatemala
214,Guatemala,Guatemala
215,Escuintla,Escuintla
216,Guatemala,Santa Catarina Pinula
217,Escuintla,Escuintla
218,Guatemala,Mixco
219,Chimaltenango,Chimaltenango
220,Alta Verapaz,Otro municipio
221,Escuintla,Santa Lucía Cotzumalguapa
222,Guatemala,San Miguel Petapa
223,Guatemala,Mixco
224,Chimaltenango,Tecpán Guatemala
225,Guatemala,Santa Catarina Pinula
226,Guatemala,San Miguel Petapa
227,Alta Verapaz,Cabecera municipal
228,Chimaltenango,CHIMALTENANGO
229,Jalapa,Otro municipio
230,Guatemala,Villa Nueva
231,Guatemala,Santa Catarina Pinula
232,Escuintla,Santa Lucía Cotzumalguapa
233,Sacatepéquez,Ciudad Vieja
234,Chimaltenango,Patzún
235,GUATEMALA,San Miguel Petapa
236,Guatemala,Guatemala
237,Guatemala,Mixco
238,Guatemala,Guatemala
239,Guatemala,Villa Nueva
240,Guatemala,Mixco
241,Guatemala,San Miguel Petapa
242,Guatemala,Villa Nueva
243,Guatemala,Santa Catarina Pinula
244,Guatemala,Santa Catarina Pinula
245,Quetzaltenango,Olintepeque
246,Guatemala,Santa Catarina Pinula
247,Huehuetenango,Cabecera municipal
248,Guatemala,Guatemala
249,Quetzaltenango,Olintepeque
250,Quetzaltenango,Olintepeque
251,Guatemala,Guatemala
252,Guatemala,Santa Catarina Pinula
253,Chimaltenango,Tecpán Guatemala
254,Guatemala,Santa Catarina Pinula
255,Guatemala,San Miguel Petapa
256,Santa Rosa,Cabecera municipal
257,Guatemala,San Miguel Petapa
258,Zacapa,Otro municipio
259,Guatemala,Mixco
260,Sacatepéquez,Jocotenango
261,Chimaltenango,Tecpán Guatemala
262,Quetzaltenango,Coatepeque
263,Chimaltenango,Chimaltenango
264,Guatemala,San Miguel Petapa
265,Huehuetenango,Otro municipio
266,Sololá,Cabecera municipal
267,Jutiapa,Jutiapa
268,Guatemala,Mixco
269,GUATEMALA,Guatemala
270,Huehuetenango,Otro municipio
271,Guatemala,San Miguel Petapa
272,Guatemala,Guatemala
273,Baja Verapaz,Baja Verapaz
274,Escuintla,Escuintla
275,Guatemala,Santa Catarina Pinula
276,Escuintla,Santa Lucía Cotzumalguapa
277,Guatemala,San Miguel Petapa
278,Guatemala,Mixco
279,El Progreso,El Progreso
280,Santa Rosa,Otro municipio
281,Guatemala,Santa Catarina Pinula
282,Huehuetenango,Cabecera municipal
283,Guatemala,Mixco
284,Guatemala,Guatemala
285,Sololá,Otro municipio
286,Escuintla,Santa Lucía Cotzumalguapa
287,Escuintla,Escuintla
288,Guatemala,Guatemala
289,Quetzaltenango,COATEPEQUE
290,Guatemala,San Miguel Petapa
291,Baja Verapaz,Cabecera municipal
1595,Guatemala,Villa Nueva
293,Guatemala,Villa Nueva
294,Guatemala,Villa Nueva
295,Guatemala,San Miguel Petapa
296,Quetzaltenango,Coatepeque
297,Guatemala,Santa Catarina Pinula
298,El Progreso,Otro municipio
299,Guatemala,Guatemala
300,Guatemala,San Miguel Petapa
301,Chiquimula,Chiquimula
302,Guatemala,San Miguel Petapa
303,Guatemala,Villa Nueva
304,Guatemala,Guatemala
305,GUATEMALA,Santa Catarina Pinula
306,Chiquimula,Otro municipio
307,Quetzaltenango,Quetzaltenango
308,Guatemala,San Miguel Petapa
309,Quetzaltenango,Olintepeque
310,Guatemala,Santa Catarina Pinula
311,Baja Verapaz,Baja Verapaz
312,Guatemala,Guatemala
313,Quiché,Cabecera municipal
314,Jalapa,Cabecera municipal
315,Guatemala,Santa Catarina Pinula
316,Guatemala,Guatemala
317,Baja Verapaz,Baja Verapaz
318,Quetzaltenango,Quetzaltenango
319,Guatemala,Mixco
320,Totonicapán,Otro municipio
321,Suchitepéquez,Cabecera municipal
322,Guatemala,Villa Nueva
323,Guatemala,Villa Nueva
324,Chimaltenango,Chimaltenango
325,San Marcos,Otro municipio
326,Baja Verapaz,Cabecera municipal
327,Guatemala,San Miguel Petapa
328,Chimaltenango,Tecpán Guatemala
329,Petén,Poptún
330,Guatemala,Villa Nueva
331,Quetzaltenango,Coatepeque
332,Chimaltenango,Chimaltenango
333,Guatemala,Mixco
334,Guatemala,Guatemala
335,Petén,Flores
336,Totonicapán,Totonicapán
337,Escuintla,No especificado
338,Alta Verapaz,Otro municipio
339,Jalapa,Jalapa
340,Chimaltenango,Patzún
341,Baja Verapaz,No especificado
342,Sololá,Cabecera municipal
343,Santa Rosa,Santa Rosa
344,Sacatepéquez,Antigua Guatemala
345,Guatemala,Guatemala
346,Sololá,Cabecera municipal
347,Guatemala,San Miguel Petapa
348,Guatemala,Mixco
1960,Guatemala,Villa Nueva
350,Santa Rosa,Cabecera municipal
351,Guatemala,Santa Catarina Pinula
352,Guatemala,Mixco
353,San Marcos,Otro municipio
354,Escuintla,Palín
355,Guatemala,Guatemala
356,Sacatepéquez,Jocotenango
357,Sacatepéquez,Antigua Guatemala
358,Izabal,Izabal
359,Guatemala,Villa Nueva
360,Sacatepéquez,Ciudad Vieja
361,Guatemala,Santa Catarina Pinula
362,Escuintla,Escuintla
363,Guatemala,Santa Catarina Pinula
364,Guatemala,Villa Nueva
365,Petén,San Benito
366,Guatemala,Villa Nueva
367,Escuintla,Escuintla
368,Escuintla,Escuintla
369,Guatemala,Guatemala
370,Quetzaltenango,No especificado
371,Guatemala,Santa Catarina Pinula
372,Guatemala,Santa Catarina Pinula
373,Guatemala,Mixco
374,Guatemala,Santa Catarina Pinula
375,Quetzaltenango,Quetzaltenango
376,Sacatepéquez,Antigua Guatemala
377,Escuintla,Escuintla
378,Izabal,Izabal
379,Quetzaltenango,Olintepeque
380,Escuintla,Santa Lucía Cotzumalguapa
381,Guatemala,Villa Nueva
382,Huehuetenango,Otro municipio
383,Guatemala,Mixco
384,Guatemala,San Miguel Petapa
385,Guatemala,San Miguel Petapa
386,Guatemala,No especificado
387,Guatemala,Guatemala
388,Guatemala,Santa Catarina Pinula
389,Escuintla,Escuintla
390,Guatemala,Mixco
391,GUATEMALA,SANTA CATARINA PINULA
392,Guatemala,Villa Nueva
393,Guatemala,Guatemala
394,Escuintla,Santa Lucía Cotzumalguapa
395,Alta Verapaz,Cabecera municipal
396,Chimaltenango,Patzún
397,Guatemala,Santa Catarina Pinula
398,Sacatepéquez,Ciudad Vieja
399,Totonicapán,Totonicapán
400,Quetzaltenango,Olintepeque
401,Sacatepéquez,Jocotenango
402,Guatemala,Villa Nueva
403,Quetzaltenango,Coatepeque
404,Chimaltenango,Patzún
405,Guatemala,Villa Nueva
406,Guatemala,Santa Catarina Pinula
407,Chiquimula,Chiquimula
408,Guatemala,San Miguel Petapa
409,Petén,Poptún
410,Guatemala,Guatemala
411,Guatemala,Guatemala
412,Quiché,Quiché
413,Zacapa,Cabecera municipal
414,Guatemala,Mixco
