id_encuesta,GastoSnacksPartido,CantidadSnacks,AltaIntencionCompra,CategoriaPrecio,FrecuenciaConsumoSnacks,SeleccionApoya,JugadoresInfluyentes,PlaneaVerMundial2026,ConQuienVePartidos,id_encuestado,id_ubicacion,id_tiempo,id_campania
1,Q25 - Q50,3,1,Accesible,Varias veces al mes,Portugal,Kylian Mbappé; Cristiano Ronaldo; Neymar Jr.,Sí,Amigos,1,1,1,1
2,Q51 - Q100,2,1,Premium,1 a 2 veces por semana,Portugal,Cristiano Ronaldo; Kylian Mbappé; Christian Pulisic,Sí,Solo,2,2,2,2
3,Q51 - Q100,3,1,Moderado,Varias veces al mes,España,Cristiano Ronaldo; Federico Valverde,Sí,Familia,3,3,3,3
4,Q25 - Q50,2,1,Moderado,3 a 5 veces por semana,Inglaterra,Vinícius Júnior,No,Solo,4,4,4,4
5,Q51 - Q100,2,0,Moderado,Varias veces al mes,España,Kylian Mbappé,No,Amigos,5,5,5,5
6,Menos de Q25,1,1,Premium,1 a 2 veces por semana,Estados Unidos,Kylian Mbappé,Sí,Solo,6,6,6,6
7,Q51 - Q100,1,0,Moderado,3 a 5 veces por semana,Francia,Lionel Messi,Sí,Solo,7,7,7,7
8,Q25 - Q50,3,0,Super Premium,3 a 5 veces por semana,Nueva Zelanda,Cristiano Ronaldo; Lionel Messi; Julián Álvarez,Sí,Amigos,8,8,8,8
9,Q25 - Q50,1,0,Accesible,Todos los días,Brasil,Lionel Messi; Neymar Jr.,Sí,Familia,9,9,9,9
10,Q51 - Q100,3,0,Super Premium,Varias veces al mes,Portugal,Cristiano Ronaldo; Rodri,Sí,Familia,10,10,10,10
11,Menos de Q25,1,1,Moderado,Todos los días,Estados Unidos,Neymar Jr.; Cristiano Ronaldo,No,Familia,11,11,11,11
12,Q51 - Q100,1,1,Moderado,3 a 5 veces por semana,Argentina,Vinícius Júnior,Sí,Compañeros de trabajo,12,12,12,12
13,Q101 - Q150,3,0,Super Premium,3 a 5 veces por semana,Argentina,Cristiano Ronaldo,Sí,Familia,13,13,13,13
14,Q51 - Q100,1,1,Moderado,3 a 5 veces por semana,Argentina,Cristiano Ronaldo; Neymar Jr.,Sí,Amigos,14,14,14,14
15,Q51 - Q100,3,1,Accesible,1 a 2 veces por semana,Inglaterra,Lionel Messi; Neymar Jr.; Kylian Mbappé,Sí,Compañeros de trabajo,15,15,15,15
16,Q25 - Q50,2,1,Moderado,1 a 2 veces por semana,Brasil,Jude Bellingham; Cristiano Ronaldo,Sí,Amigos,16,16,16,16
